City,Latitude,Longitude,Hotels,Places_to_visit,hotel_process,new_file_paths,hotel_final
Aamby Valley City,18.5726,73.4049,hotels/1.json,,1_short.json,hotels/preprocessed_1_short.json,hotels/preprocessed_1_short.json
Abhaneri,27.0056,76.6102,hotels/2.json,,2_short.json,hotels/preprocessed_2_short.json,hotels/preprocessed_2_short.json
Achooranam,11.5934,76.0131,hotels/3.json,,3_short.json,hotels/preprocessed_3_short.json,hotels/preprocessed_3_short.json
Acharapakkam,12.4077,79.817,hotels/4.json,,4_short.json,hotels/preprocessed_4_short.json,hotels/preprocessed_4_short.json
Achrol,27.133,75.9567,hotels/5.json,,5_short.json,hotels/preprocessed_5_short.json,hotels/preprocessed_5_short.json
Adilabad,19.6766,78.5321,hotels/6.json,,6_short.json,hotels/preprocessed_6_short.json,hotels/preprocessed_6_short.json
Adimaly,10.0115,76.9528,hotels/7.json,,7_short.json,hotels/preprocessed_7_short.json,hotels/preprocessed_7_short.json
Adipur,23.0732,70.0881,hotels/8.json,,8_short.json,hotels/preprocessed_8_short.json,hotels/preprocessed_8_short.json
Adoni,15.6319,77.2759,hotels/9.json,,9_short.json,hotels/preprocessed_9_short.json,hotels/preprocessed_9_short.json
Adoor,9.153,76.7356,hotels/10.json,,10_short.json,hotels/preprocessed_10_short.json,hotels/preprocessed_10_short.json
Agartala,23.8315,91.2868,hotels/11.json,,11_short.json,hotels/preprocessed_11_short.json,hotels/preprocessed_11_short.json
Agatti,10.8576,72.1934,hotels/12.json,,12_short.json,hotels/preprocessed_12_short.json,hotels/preprocessed_12_short.json
Goa,15.2993,74.124,hotels/13.json,,13_short.json,hotels/preprocessed_13_short.json,hotels/preprocessed_13_short.json
Agra,27.1767,78.0081,hotels/14.json,,14_short.json,hotels/preprocessed_14_short.json,hotels/preprocessed_14_short.json
Agumbe,13.5027,75.0903,hotels/15.json,,15_short.json,hotels/preprocessed_15_short.json,hotels/preprocessed_15_short.json
Etmadpur,27.2333,78.1992,hotels/16.json,,16_short.json,hotels/preprocessed_16_short.json,hotels/preprocessed_16_short.json
Ahmedabad,23.0225,72.5714,hotels/17.json,,17_short.json,hotels/preprocessed_17_short.json,hotels/preprocessed_17_short.json
