City,Latitude,Longitude,places
Aamby Valley City,18.5726,73.4049,places_visit/1.json
Abhaneri,27.0056,76.6102,places_visit/2.json
Achooranam,11.5934,76.0131,places_visit/3.json
Acharapakkam,12.4077,79.817,places_visit/4.json
Achrol,27.133,75.9567,places_visit/5.json
Adilabad,19.6766,78.5321,places_visit/6.json
Adimaly,10.0115,76.9528,places_visit/7.json
Adipur,23.0732,70.0881,places_visit/8.json
Adoni,15.6319,77.2759,places_visit/9.json
Adoor,9.153,76.7356,places_visit/10.json
Agartala,23.8315,91.2868,places_visit/11.json
Agatti,10.8576,72.1934,places_visit/12.json
Goa,15.2993,74.124,places_visit/13.json
Agra,27.1767,78.0081,places_visit/14.json
Agumbe,13.5027,75.0903,places_visit/15.json
Etmadpur,27.2333,78.1992,places_visit/16.json
Ahmedabad,23.0225,72.5714,places_visit/17.json
Kalol,23.2418,72.493,places_visit/18.json
Ahmednagar,19.0948,74.748,places_visit/19.json
Aizawl,23.7307,92.7173,places_visit/20.json
Ahwa,20.7606,73.6912,places_visit/21.json
Ajanta,20.5513,75.7069,places_visit/22.json
Ajmer,26.4499,74.6399,places_visit/23.json
Pushkar,26.4886,74.5509,places_visit/24.json
Nimbahera,24.624,74.6893,places_visit/25.json
Kolkata,22.5726,88.3639,places_visit/26.json
Akluj,17.8824,75.0205,places_visit/27.json
Alampur,15.8843,78.1194,places_visit/28.json
Akola,20.7002,77.0082,places_visit/29.json
Alandi,18.6783,73.895,places_visit/30.json
Alappuzha,9.4981,76.3388,places_visit/31.json
Kainakary,9.515,76.3927,places_visit/32.json
Pulinkunnu,9.4573,76.4349,places_visit/33.json
Alchi,34.225,77.1708,places_visit/34.json
Alibaug,18.6584,72.8773,places_visit/35.json
Aligarh,27.8974,78.088,places_visit/36.json
Alipurduar,26.4922,89.532,places_visit/37.json
Prayagraj,25.4358,81.8463,places_visit/38.json
Alirajpur,22.306,74.3558,places_visit/39.json
Almora,29.5892,79.6467,places_visit/40.json
Alwar,27.553,76.6346,places_visit/41.json
Amalapuram,16.5775,82.0031,places_visit/42.json
Amaravathi,16.5131,80.5165,places_visit/43.json
Amarkantak,22.6822,81.7532,places_visit/44.json
Ambaji,24.331,72.8517,places_visit/45.json
Ambajogai,18.7271,76.3811,places_visit/46.json
Ambala,30.3752,76.7821,places_visit/47.json
Ambalappuzha,9.3787,76.3628,places_visit/48.json
Ambarnath,19.1825,73.1926,places_visit/49.json
Ambikapur,23.1294,83.1861,places_visit/50.json
Amravati,16.5131,80.5165,places_visit/51.json
Ambur,12.7802,78.7177,places_visit/52.json
Amboli,15.9647,74.0036,places_visit/53.json
Amritsar,31.634,74.8723,places_visit/54.json
Amreli,21.6015,71.2204,places_visit/55.json
Anandpur Sahib,31.2355,76.5013,places_visit/56.json
Anakulam,10.1592,76.9139,places_visit/57.json
Anand,22.5645,72.9289,places_visit/58.json
